,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
81,capistrano/capistrano,capistrano_50,0.001059322,0.000302343,0.000302343,0.801171221,0.003403933,0.003246753,0.003651761,0.00623053,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
82,capistrano/capistrano,capistrano_6,0.0,0.0,0.0,0.035973229,0.201588502,0.003246753,0.0,0.003115265,0.0,0.0,0.064516129,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
83,capistrano/capistrano,capistrano_53,0.001059322,0.001360544,0.001360544,0.172336866,0.011346445,0.00974026,0.001589775,0.00623053,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
84,capistrano/capistrano,capistrano_39,0.0,0.0,0.0,0.517010597,0.0,0.006493506,0.001558294,0.0,0.0,0.0,0.064516129,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
85,capistrano/capistrano,capistrano_10,0.0,0.000453515,0.000453515,0.327384272,0.293494705,0.00974026,0.002880484,0.00623053,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
86,capistrano/capistrano,capistrano_59,0.0,0.004988662,0.004988662,0.063580591,0.06580938,0.094155844,0.000802758,0.00623053,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
87,capistrano/capistrano,capistrano_44,0.0,0.002721088,0.002721088,0.247350809,0.071860817,0.061688312,0.001636996,0.003115265,0.0,0.0,0.016129032,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
88,capistrano/capistrano,capistrano_30,0.0,0.000151172,0.000151172,0.152816509,0.0,0.006493506,0.000865719,0.0,0.0,0.0,0.016129032,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
89,capistrano/capistrano,capistrano_14,0.0,0.0,0.0,0.208867819,0.0,0.003246753,0.001259228,0.0,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
90,capistrano/capistrano,capistrano_62,0.0,0.001209373,0.001209373,0.408812047,0.018532526,0.019480519,0.002030505,0.00623053,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
91,capistrano/capistrano,capistrano_40,0.0,0.000302343,0.000302343,0.071388734,0.878971256,0.012987013,0.001196266,0.00623053,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
92,capistrano/capistrano,capistrano_16,0.0,0.0,0.0,0.282208589,0.0,0.003246753,0.001432372,0.0,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
93,capistrano/capistrano,capistrano_46,0.0,0.000302343,0.000302343,0.547964306,0.007942511,0.012987013,0.000724056,0.00623053,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
94,capistrano/capistrano,capistrano_23,0.0,0.000302343,0.000302343,0.379252649,0.004160363,0.006493506,0.000739796,0.00623053,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
95,capistrano/capistrano,capistrano_2,0.0,0.001662887,0.001662887,0.034021194,0.001891074,0.035714286,0.001479593,0.00623053,0.032786885,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
96,capistrano/capistrano,capistrano_63,0.0,0.000604686,0.000604686,0.844394869,0.01172466,0.016233766,0.001574035,0.003115265,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
97,capistrano/capistrano,capistrano_19,0.001059322,0.001965231,0.001965231,0.034578918,0.07677761,0.012987013,0.001762919,0.009345794,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
98,capistrano/capistrano,capistrano_21,0.0,0.000151172,0.000151172,0.29475739,0.003782148,0.003246753,0.000173144,0.00623053,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
99,capistrano/capistrano,capistrano_42,0.003177966,0.003779289,0.003779289,0.189347462,0.014750378,0.035714286,0.002455494,0.015576324,0.0,0.0,0.112903226,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
100,capistrano/capistrano,capistrano_47,0.0,0.000302343,0.000302343,0.464026771,0.15204236,0.003246753,0.000503691,0.003115265,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
101,capistrano/capistrano,capistrano_57,0.0,0.002116402,0.002116402,0.298661461,0.028744327,0.051948052,0.000975902,0.003115265,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
102,capistrano/capistrano,capistrano_4,0.0,0.000453515,0.000453515,0.749023982,0.0,0.00974026,0.001416631,0.0,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
103,capistrano/capistrano,capistrano_37,0.0,0.000604686,0.000604686,0.325153374,0.0,0.012987013,0.000110182,0.0,0.016393443,0.0,0.016129032,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
104,capistrano/capistrano,capistrano_35,0.0,0.0,0.0,0.26240937,0.0,0.0,0.000141663,0.0,0.0,0.0,0.016129032,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
105,capistrano/capistrano,capistrano_33,0.0,0.0,0.0,0.247629671,0.013237519,0.003246753,0.00091294,0.00623053,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
106,capistrano/capistrano,capistrano_1,0.001059322,0.000755858,0.000755858,0.747350809,0.0,0.00974026,0.004611922,0.003115265,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
107,capistrano/capistrano,capistrano_3,0.0,0.000755858,0.000755858,0.014779699,0.024962179,0.00974026,0.001054603,0.00623053,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
108,sandstorm-io/capnproto,capnproto_9,0.9969674,0.999701069,0.999701069,0.0,1.0,0.998726115,0.998156541,0.997512438,1.0,0.0,0.0,1.0,57,10,0,1,1,0,0,0,1,0,0,1,1
109,sandstorm-io/capnproto,capnproto_6,0.029567854,0.01240565,0.01240565,0.278350515,0.242059146,0.034394904,0.025479652,0.037313433,0.0,0.0,0.666666667,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
110,sandstorm-io/capnproto,capnproto_2,0.021986353,0.003886107,0.003886107,0.037800687,0.834611172,0.045859873,0.010908109,0.059701493,0.01532567,0.0,1.0,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
111,sandstorm-io/capnproto,capnproto_10,0.012888552,0.003213512,0.003213512,0.468499427,0.070098576,0.024203822,0.009205552,0.02238806,0.003831418,0.0,0.25,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
112,sandstorm-io/capnproto,capnproto_4,0.012130402,0.004857634,0.004857634,0.144329897,0.198247536,0.020382166,0.007667379,0.017412935,0.0,0.0,0.208333333,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
113,sandstorm-io/capnproto,capnproto_5,0.003790751,0.000822061,0.000822061,0.073310424,0.657174151,0.011464968,0.00344034,0.017412935,0.0,0.0,0.333333333,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
114,sandstorm-io/capnproto,capnproto_7,0.0015163,0.001569389,0.001569389,0.334478809,0.016429354,0.005095541,0.001491205,0.009950249,0.0,0.0,0.0,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
115,sandstorm-io/capnproto,capnproto_8,0.00075815,7.47e-05,7.47e-05,0.987399771,0.002190581,0.0,0.000152643,0.002487562,0.0,0.0,0.041666667,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
116,sandstorm-io/capnproto,capnproto_1,0.0,0.0,0.0,0.804123711,0.0,0.003821656,0.000187868,0.002487562,0.0,0.0,0.041666667,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
117,sandstorm-io/capnproto,capnproto_3,0.0,0.000149466,0.000149466,0.596792669,0.074479737,0.002547771,0.00125637,0.0,0.0,0.0,0.0,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
118,sandstorm-io/capnproto,capnproto_11,0.0,0.00052313,0.00052313,0.103092784,0.014238773,0.006369427,0.0,0.007462687,0.0,0.0,0.083333333,0.0,57,10,0,1,1,0,0,0,1,0,0,1,0
